offset	next_record_offset	type_code	verdict	path	declared_length	metadata_length	payload_count	payload_tags	payload_offsets	payload_lengths	payload_hashes	xattr_names
13374261420	13374261994	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalThoughtsOnOtherAssistant.patternxml	278	278	1	DATA	13374261698	296	None	
13374261994	13374262524	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalToBeOrNotToBe.patternxml	256	256	1	DATA	13374262250	274	None	
13374262524	13374263054	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalTongueTwister.patternxml	256	256	1	DATA	13374262780	274	None	
13374263054	13374263608	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalTongueTwisterFollowUp.patternxml	264	264	1	DATA	13374263318	290	None	
13374263608	13374264123	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalTotoJoke.patternxml	251	251	1	DATA	13374263859	264	None	
13374264123	13374264650	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalTrickOrTreat.patternxml	255	255	1	DATA	13374264378	272	None	
13374264650	13374265174	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalTruthOrDare.patternxml	254	254	1	DATA	13374264904	270	None	
13374265174	13374265704	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalUnequivocalNo.patternxml	256	256	1	DATA	13374265430	274	None	
13374265704	13374266237	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalUnequivocalYes.patternxml	257	257	1	DATA	13374265961	276	None	
13374266237	13374266835	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalUnknownQuestionAboutSiriCatchall.patternxml	286	286	1	DATA	13374266523	312	None	
13374266835	13374267436	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalUnknownStatementAboutSiriCatchall.patternxml	287	287	1	DATA	13374267122	314	None	
13374267436	13374267972	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalUpDownLeftRight.patternxml	258	258	1	DATA	13374267694	278	None	
13374267972	13374268529	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalUserAppearanceConcerns.patternxml	265	265	1	DATA	13374268237	292	None	
13374268529	13374269074	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalUserEatingMooncake.patternxml	261	261	1	DATA	13374268790	284	None	
13374269074	13374269675	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalUserEthnicityNationalitySensitive.patternxml	287	287	1	DATA	13374269361	314	None	
